id_contenido,autor,creacion,multimedia,texto,likes,hashtag,id_referencia
76,holis1,2025-05-01,,Viva peru carajo,1,#Trump,,
75,juan123,2025-04-30,,Hola que tal como estais estoy con pau en clase,2,#vida,,
74,juan123,2025-04-22,,Hola como estais todos,1,#whale,,
70,juan123,2025-04-15,,No se muy bien como funciona esto,1,,,
71,juan123,2025-04-15,,yo tampoco,0,,70
72,juan123,2025-04-15,,Hola que tal; por poco se me quema la casa por conectar un enchufe,1,#whale,,
67,juan123,2025-04-13,,hola que tal estas me llamo juan,27,,,
79,juan123,2025-02-15,,hola a todos,16,#live,,
78,juan123,2025-02-15,,hola a todos,16,#live,,
24,pedro654,2024-01-25,,Probando nuevas aplicaciones de productividad.,26,#technology,,
68,juan123,2025-04-15,,me encantan tus publicaciones,0,,24
23,ana321,2024-01-24,https://example.com/image9.jpg,Atardeceres que quitan el aliento.,26,#sunrise,,
22,luis789,2024-01-23,,Nunca te rindas; sigue adelante.,25,#motivation,,
19,pedro654,2024-01-20,https://example.com/image8.jpg,Visita guiada al museo de historia local.,26,#history,,
18,ana321,2024-01-19,,Explorando nuevas rutas de senderismo.,27,#adventure,,
77,juan123,2025-05-01,,Hola que tal; me encantan las rutas como a ti,0,,18
17,luis789,2024-01-18,https://example.com/image7.jpg,Rutina de ejercicios en casa.,26,#fitness,,
16,maria456,2024-01-17,,Capturando momentos únicos con mi cámara.,26,#photography,,
12,pedro654,2024-01-13,https://example.com/image5.jpg,Viendo una película clásica de los 90s.,26,#movies,,
11,ana321,2024-01-12,,Mi gato durmiendo plácidamente.,26,#pets,,
10,luis789,2024-01-11,https://example.com/image4.jpg,Partido de fútbol con amigos.,26,#sports,,
9,maria456,2024-01-10,,Dibujando un paisaje al atardecer.,26,#art,,
69,juan123,2025-04-15,,hola que tal como estís todos,0,,9
5,pedro654,2024-01-06,,Leyendo mi libro favorito.,26,#books,,
4,ana321,2024-01-05,https://example.com/image2.jpg,Un paseo por el bosque.,26,#nature,,
3,luis789,2024-01-04,,Entrenamiento matutino completado.,26,#gym,,
2,maria456,2024-01-03,https://example.com/video1.mp4,Receta casera de pasta al pesto.,26,#food,,
26,juan123,2025-05-04,,Esto es una prueba; me llamo Marti,0,#whale,,
